"gene_symbol","GSE5099_logFC","GSE5099_moderated_t","GSE11864_logFC","GSE11864_moderated_t","action","reason"
"A1BG",-0.214276465333333,-1.35779990029614,0.414327574867777,1.09695018645242,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"A1BG-AS1",-0.315055795333334,-3.13664170047052,0.405752441550584,0.529699907530576,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"A1CF",-0.174732711833333,-1.84187736687694,1.59465803526895,2.31739807397322,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"A4GALT",-0.549439209,-4.52288611250323,0.449030391969881,0.581359319152511,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"AADAC",-0.0886832989999978,-0.769179316129994,1.55017977737428,1.39568934227512,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"AADACL2",-0.133448811333333,-2.12727483089876,3.20607258751017,3.71983538695405,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"AADAT",-0.211864951333332,-2.52367788156226,0.373998086884411,0.379778161019639,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"AARS2",-0.0297169598333316,-0.259703941492094,0.842819548182792,2.61220562595528,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"AATK",-0.0273078203333311,-0.197222804522696,0.172271592657029,0.822791217095616,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABAT",1.01911294955556,7.28755183594633,-0.143120781986322,-0.734255749308621,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA11P",-0.00115875599999962,-0.0147833529452676,1.36951721931161,2.78630528536381,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA17P",0.171763961333334,2.58146734109185,-0.455991650038607,-0.599738476176328,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA3",0.0817636426666679,0.605528439139731,-0.211593624354307,-0.253613774394951,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA6",-0.602502336333332,-2.69127243186253,2.38352203379873,5.20768115714484,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA7",0.196191219666667,1.30870209096571,-0.148695900890889,-0.77416958490831,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA8",-0.0301679823333328,-0.416969473003244,0.441768700009615,0.534325345642814,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCA9",-0.235908349111111,-2.33574281348,0.580834886073557,0.675037286457111,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCB1",-0.132460399833333,-1.8793951386834,0.463953550066857,0.621098419953948,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCB10",0.060467695666667,0.306779515376376,-0.389044177525643,-3.35233754882655,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCB4",0.567857363333334,4.16577980390504,-0.0773046578017267,-0.092217725481703,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCB5",0.0497805973333338,0.784618545677869,-0.20735259760714,-0.233176872523144,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCB6",-0.169767832833332,-1.35383257430346,1.75715514722369,2.46700495671183,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCB7",0.0428174946666662,0.302106760709936,-0.602483986241126,-4.81709327128581,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC1",-0.691768682499998,-3.97464296040847,0.741483422517327,6.16655719661054,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC11",-0.114546018,-1.47759162083866,0.400555612640517,0.399553838722045,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC13",-0.0366425693333317,-0.434251816961518,0.395636228285875,0.463065354778937,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC3",-0.152747907305554,-1.07192006421649,2.24959630728421,8.36789687537387,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC6P1",0.0295066896666674,0.395003828357588,-0.931751356003917,-1.2868752286798,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC8",-0.0190918313333322,-0.183288543730476,0.103238336596008,0.120323909432694,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCC9",-0.0773991053888878,-0.912911064109688,0.692408473265051,0.839703440149453,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCE1",-0.871605639000001,-5.02030253727551,0.430994006901041,2.62920124456325,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCF1",-0.273765968833331,-1.80854504979017,0.144247997611512,1.22715624412647,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCF3",-0.102054268999999,-0.75456432640566,0.208253200312031,0.972833405850037,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCG4",0.120197028,1.0568183578737,-0.600894222600494,-1.4808557248076,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABCG5",0.110839570333334,1.15517405431895,-2.81752929509478,-3.07040935515524,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABHD14B",1.113401498,7.62533059099373,-0.696307118436355,-3.99481289228007,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABHD16B",-0.483393457333333,-3.91522414585096,0.116569295618006,0.135185144878651,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABHD17A",0.867256031333337,6.65718442139737,-0.147843909726297,-1.25276509304365,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABHD5",0.14635319588889,1.35656443948845,-1.00227973207665,-5.781627817179,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABI1",0.116312521666668,0.695387779457113,-0.107718658148525,-0.603658088234795,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABI2",-0.193302635291665,-1.66613407270213,0.721915781006686,1.89710684773341,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABI3",-0.000455458999999218,-0.0022851667907854,0.407017688215783,2.98727480128859,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABI3BP",-0.0541276461666665,-0.770538255408582,0.230369632988173,0.268764093994967,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABLIM1",-0.547290873833333,-4.38595720113295,0.317935496078282,0.660740461944645,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABLIM2",0.0374648730000002,0.368841518147873,-0.37784055081846,-0.700648055919029,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ABTB1",-0.0960846601999995,-0.806146947849921,0.400946463210573,1.07486076754112,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACAA1",0.419526936666668,2.37803107390004,-0.946779896695909,-8.10824559864696,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACAD8",-0.116005306999998,-0.808368306778383,0.0249988363452882,0.190400491243373,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACADSB",0.7485312695,7.39524256575002,-0.446921400535535,-1.75667775632958,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACAP2",0.0185062431666664,0.161023807483049,-0.960542091568592,-6.49748305892906,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACCS",1.22742806466667,9.90011092241019,-1.42415801703617,-5.78010695449017,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACE2",-0.0208769091666656,-0.226083020234351,0.398610229902811,0.467896688340955,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACER2",-0.00379312999999942,-0.0621753934724326,3.01554386960216,3.80956333833753,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACER3",1.13971140766667,8.99000282424901,-1.38908970033904,-8.13661182919581,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACIN1",-0.233831533333332,-1.42077124208735,0.305819864323482,2.01454070522587,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACKR2",0.0191054580000015,0.143374539145786,-0.417118056923898,-0.611160976329399,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACKR4",-0.261498445,-3.8746894763169,0.433761269351151,0.631231380284635,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACMSD",-0.167720732000001,-1.36801308608287,0.968087127205413,1.12049968449069,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACOD1",-0.472250660333332,-3.67130846528041,2.44002388774395,2.98202559142317,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACOT8",0.200195242000001,1.64186838826356,-0.40060068587249,-1.74991544715068,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACOT9",-0.881599489999998,-6.2043216973121,0.10179692391059,0.878841916440383,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACOX1",-0.012306110749999,-0.0983912647188668,0.60961861796519,1.68060868912819,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACOX2",0.329119163666667,2.80571827133365,-3.50598520738881,-5.36706571656175,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACOX3",-0.191480326833333,-1.42866684401589,0.19729046354026,0.711207213326273,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACP1",0.133899283000001,0.909326580271406,-0.41400271957759,-2.84351437404209,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACSBG2",-0.037102526666665,-0.367924737202454,1.84351381810643,2.08685625515947,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACSF2",0.485294440333336,3.36377326844838,-0.106358437755411,-0.488664897860151,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACSF3",-0.0604538503333321,-0.624770131360446,0.49185019143118,0.993690071370747,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACSM2A",-0.0615445271666657,-0.785122743777826,0.57066592048815,0.671581019989132,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACSM2B",-0.0741677469999987,-0.829088513842409,0.0306350175568013,0.0359361616087655,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACSM5",1.099309,6.38080784141896,-0.434632653894599,-0.618135678957635,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACTB",-0.413045020416667,-4.36966338557715,0.0898425688715232,1.43378044509669,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"ACTG2",-0.0922638126666663,-0.824160740200225,0.13085298470499,0.1935897757274,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
