"direction","gene_symbol"
"mature_positive","A2M"
"mature_positive","ABCC5"
"mature_positive","ABHD12"
"mature_positive","ACOT4"
"mature_positive","ACP5"
"mature_positive","ACTRT3"
"mature_positive","ADAM10"
"mature_positive","ADAMDEC1"
"mature_positive","ADAT1"
"mature_positive","ADH1C"
"mature_positive","ADM"
"mature_positive","ADO"
"mature_positive","ADORA3"
"mature_positive","AHSG"
"mature_positive","AIFM1"
"mature_positive","ALAS1"
"mature_positive","ALKBH6"
"mature_positive","AMPD2"
"mature_positive","ANKRD29"
"mature_positive","AP3M2"
"mature_positive","APOBR"
"mature_positive","APOC1"
"mature_positive","APOC2"
"mature_positive","APOE"
"mature_positive","ARAP1"
"mature_positive","ARF1"
"mature_positive","ARIH2"
"mature_positive","ARL15"
"mature_positive","ARSI"
"mature_positive","ASPSCR1"
"mature_positive","ATL1"
"mature_positive","ATP10D"
"mature_positive","ATP1B1"
"mature_positive","ATP6V0A1"
"mature_positive","ATXN7L3B"
"mature_positive","AVPR2"
"mature_positive","B3GALT5-AS1"
"mature_positive","BCAR3"
"mature_positive","BCL2L12"
"mature_positive","BEST1"
"mature_positive","BEX2"
"mature_positive","BHLHE41"
"mature_positive","BMS1P2"
"mature_positive","BOP1"
"mature_positive","BORA"
"mature_positive","BTBD9"
"mature_positive","BTD"
"mature_positive","C11orf45"
"mature_positive","C1orf122"
"mature_positive","C1QA"
"mature_positive","C1QB"
"mature_positive","C1QC"
"mature_positive","C9orf40"
"mature_positive","CA2"
"mature_positive","CAB39L"
"mature_positive","CAD"
"mature_positive","CALHM2"
"mature_positive","CANX"
"mature_positive","CAPN15"
"mature_positive","CASC3"
"mature_positive","CBX6"
"mature_positive","CCDC85B"
"mature_positive","CCHCR1"
"mature_positive","CCL18"
"mature_positive","CCL2"
"mature_positive","CCL22"
"mature_positive","CCL24"
"mature_positive","CCM2"
"mature_positive","CCND1"
"mature_positive","CCR10"
"mature_positive","CD14"
"mature_positive","CD274"
"mature_positive","CD72"
"mature_positive","CD99"
"mature_positive","CDCA7L"
"mature_positive","CFAP206"
"mature_positive","CFLAR"
"mature_positive","CGNL1"
"mature_positive","CHD3"
"mature_positive","CHI3L1"
"mature_positive","CHIT1"
"mature_positive","CHMP4A"
"mature_positive","CHP2"
"mature_positive","CHRNA4"
"mature_positive","CKAP5"
"mature_positive","CLCN5"
"mature_positive","CNIH3"
"mature_positive","CNOT11"
"mature_positive","CNRIP1"
"mature_positive","COCH"
"mature_positive","COL2A1"
"mature_positive","COQ8B"
"mature_positive","CPM"
"mature_positive","CPSF4"
"mature_positive","CPTP"
"mature_positive","CRABP2"
"mature_positive","CRTC3"
"mature_positive","CRYZ"
"mature_positive","CS"
"mature_positive","CTLA4"
"mature_positive","CTSK"
"mature_positive","CTSW"
"mature_positive","CXCL3"
"mature_positive","CYP21A1P"
"mature_positive","CYP24A1"
"mature_positive","CYP27B1"
"mature_positive","CYP2B6"
"mature_positive","CYP4F22"
"mature_positive","DAXX"
"mature_positive","DCSTAMP"
"mature_positive","DDX23"
"mature_positive","DENND3"
"mature_positive","DERL3"
"mature_positive","DET1"
"mature_positive","DFNA5"
"mature_positive","DHCR24"
"mature_positive","DHRS11"
"mature_positive","DHRSX"
"mature_positive","DIRC3"
"mature_positive","DLEU2"
"mature_positive","DNAL1"
"mature_positive","DNPH1"
"mature_positive","DPM3"
"mature_positive","DYNLL2"
"mature_positive","E2F5"
"mature_positive","EBAG9"
"mature_positive","EDC4"
"mature_positive","EGR2"
"mature_positive","EIF2B5"
"mature_positive","EIF4G1"
"mature_positive","ELP3"
"mature_positive","EMC2"
"mature_positive","EMP1"
"mature_positive","ENO4"
"mature_positive","EPC2"
"mature_positive","EPN3"
"mature_positive","ETFBKMT"
"mature_positive","ETS1"
"mature_positive","EVA1C"
"mature_positive","F3"
"mature_positive","FABP4"
"mature_positive","FAIM"
"mature_positive","FAM213A"
"mature_positive","FBP1"
"mature_positive","FCGRT"
"mature_positive","FJX1"
"mature_positive","FKBP1A"
"mature_positive","FLNA"
"mature_positive","FNTB"
"mature_positive","FZD7"
"mature_positive","GAA"
"mature_positive","GABRG3"
"mature_positive","GAL"
"mature_positive","GALNT12"
"mature_positive","GDF15"
"mature_positive","GEM"
"mature_positive","GIGYF2"
"mature_positive","GJB2"
"mature_positive","GLA"
"mature_positive","GLB1"
"mature_positive","GM2A"
"mature_positive","GMEB1"
"mature_positive","GMPPA"
"mature_positive","GMPPB"
"mature_positive","GOSR1"
"mature_positive","GPC4"
"mature_positive","GPNMB"
"mature_positive","GPR108"
"mature_positive","GPR157"
"mature_positive","GPR63"
"mature_positive","GPX3"
"mature_positive","GRINA"
"mature_positive","GSDMA"
"mature_positive","GTF2IRD1"
"mature_positive","GYPC"
"mature_positive","H1-10"
"mature_positive","HAVCR2"
"mature_positive","HBP1"
"mature_positive","HCCS"
"mature_positive","HDC"
"mature_positive","HEBP1"
"mature_positive","HECTD3"
"mature_positive","HELB"
"mature_positive","HEXA"
"mature_positive","HFE"
"mature_positive","HIRIP3"
"mature_positive","HLA-DRB1"
"mature_positive","HOMER1"
"mature_positive","HPGD"
"mature_positive","HPS4"
"mature_positive","HS1BP3"
"mature_positive","HS3ST1"
"mature_positive","HS3ST2"
"mature_positive","HSD11B1"
"mature_positive","HSD3B7"
"mature_positive","HSDL1"
"mature_positive","HSPBAP1"
"mature_positive","HTRA2"
"mature_positive","HTRA4"
"mature_positive","ID3"
"mature_positive","IER2"
"mature_positive","IFI30"
"mature_positive","IFT122"
"mature_positive","IL1RL2"
"mature_positive","IMMP1L"
"mature_positive","INSYN1"
"mature_positive","INTS1"
"mature_positive","INTS13"
"mature_positive","IPO9"
"mature_positive","JADE3"
"mature_positive","JPT2"
"mature_positive","KCNJ8"
"mature_positive","KCTD20"
"mature_positive","KCTD5"
"mature_positive","KCTD7"
"mature_positive","KDM2B"
"mature_positive","KDM4D"
"mature_positive","KDM5D"
"mature_positive","KLF6"
"mature_positive","KLHDC10"
"mature_positive","KLHL9"
"mature_positive","KMT2D"
"mature_positive","LAG3"
"mature_positive","LDHD"
"mature_positive","LFNG"
"mature_positive","LIG1"
"mature_positive","LIN9"
"mature_positive","LINC00324"
"mature_positive","LINC00639"
"mature_positive","LINC00921"
"mature_positive","LNX2"
"mature_positive","LPL"
"mature_positive","LRIG2"
"mature_positive","LRP1"
"mature_positive","LRRC61"
"mature_positive","LXN"
"mature_positive","LY6D"
"mature_positive","LY6H"
"mature_positive","MAN2B1"
"mature_positive","MAPK13"
"mature_positive","MBLAC2"
"mature_positive","MCEE"
"mature_positive","MCOLN3"
"mature_positive","MCU"
"mature_positive","ME1"
"mature_positive","ME3"
"mature_positive","MED14"
"mature_positive","MED28"
"mature_positive","MED7"
"mature_positive","MEGF8"
"mature_positive","MEN1"
"mature_positive","MERTK"
"mature_positive","MFHAS1"
"mature_positive","MFSD13A"
"mature_positive","MIR663AHG"
"mature_positive","MMP12"
"mature_positive","MMP17"
"mature_positive","MMP7"
"mature_positive","MMP9"
"mature_positive","MRC1"
"mature_positive","MREG"
"mature_positive","MRPL27"
"mature_positive","MRPL38"
"mature_positive","MRPS28"
"mature_positive","MSANTD3"
"mature_positive","MSC-AS1"
"mature_positive","MSMO1"
"mature_positive","MTG1"
"mature_positive","MTHFSD"
"mature_positive","MTMR10"
"mature_positive","MTX2"
"mature_positive","MYDGF"
"mature_positive","MYL6"
"mature_positive","MYO19"
"mature_positive","MZB1"
"mature_positive","NAA30"
"mature_positive","NAA60"
"mature_positive","NAPEPLD"
"mature_positive","NCEH1"
"mature_positive","NCF1"
"mature_positive","NCKIPSD"
"mature_positive","NDP"
"mature_positive","NFASC"
"mature_positive","NHSL2"
"mature_positive","NKX2-3"
"mature_positive","NOSIP"
"mature_positive","NOXO1"
"mature_positive","NQO1"
"mature_positive","NR1H3"
"mature_positive","NR4A1"
"mature_positive","NRIP3"
"mature_positive","NRP1"
"mature_positive","NRSN2"
"mature_positive","NTPCR"
"mature_positive","NUBP1"
"mature_positive","NUCB1"
"mature_positive","NUP43"
"mature_positive","ORAI1"
"mature_positive","ORMDL2"
"mature_positive","OS9"
"mature_positive","OXNAD1"
"mature_positive","P4HA2"
"mature_positive","PARG"
"mature_positive","PCDHB6"
"mature_positive","PDCD7"
"mature_positive","PDE2A"
"mature_positive","PELP1"
"mature_positive","PEX14"
"mature_positive","PEX5"
"mature_positive","PGF"
"mature_positive","PI4K2A"
"mature_positive","PILRA"
"mature_positive","PIN4"
"mature_positive","PIR"
"mature_positive","PITHD1"
"mature_positive","PKDREJ"
"mature_positive","PKN1"
"mature_positive","PKP4"
"mature_positive","PLEC"
"mature_positive","PLEKHH1"
"mature_positive","PLIN4"
"mature_positive","PLPP3"
"mature_positive","PLTP"
"mature_positive","PML"
"mature_positive","PNMA1"
"mature_positive","POGZ"
