"source_set","direction","gene_symbol"
"GSE5099_Macrophage","mature_positive","ABHD12"
"GSE5099_Macrophage","mature_positive","ACTRT3"
"GSE5099_Macrophage","mature_positive","ADAT1"
"GSE5099_Macrophage","mature_positive","ADH1C"
"GSE5099_Macrophage","mature_positive","ADM"
"GSE5099_Macrophage","mature_positive","ADO"
"GSE5099_Macrophage","mature_positive","AHSG"
"GSE5099_Macrophage","mature_positive","ALKBH6"
"GSE5099_Macrophage","mature_positive","AMPD2"
"GSE5099_Macrophage","mature_positive","AP3M2"
"GSE5099_Macrophage","mature_positive","APOBR"
"GSE5099_Macrophage","mature_positive","APOE"
"GSE5099_Macrophage","mature_positive","ARF1"
"GSE5099_Macrophage","mature_positive","ARIH2"
"GSE5099_Macrophage","mature_positive","ARSI"
"GSE5099_Macrophage","mature_positive","ASPSCR1"
"GSE5099_Macrophage","mature_positive","ATP6V0A1"
"GSE5099_Macrophage","mature_positive","ATXN7L3B"
"GSE5099_Macrophage","mature_positive","AVPR2"
"GSE5099_Macrophage","mature_positive","BCL2L12"
"GSE5099_Macrophage","mature_positive","BEX2"
"GSE5099_Macrophage","mature_positive","BOP1"
"GSE5099_Macrophage","mature_positive","BTBD9"
"GSE5099_Macrophage","mature_positive","CAD"
"GSE5099_Macrophage","mature_positive","CAPN15"
"GSE5099_Macrophage","mature_positive","CBX6"
"GSE5099_Macrophage","mature_positive","CCDC85B"
"GSE5099_Macrophage","mature_positive","CCHCR1"
"GSE5099_Macrophage","mature_positive","CCR10"
"GSE5099_Macrophage","mature_positive","CD14"
"GSE5099_Macrophage","mature_positive","CD99"
"GSE5099_Macrophage","mature_positive","CFAP206"
"GSE5099_Macrophage","mature_positive","CFLAR"
"GSE5099_Macrophage","mature_positive","CGNL1"
"GSE5099_Macrophage","mature_positive","CHD3"
"GSE5099_Macrophage","mature_positive","CHP2"
"GSE5099_Macrophage","mature_positive","CHRNA4"
"GSE5099_Macrophage","mature_positive","CNOT11"
"GSE5099_Macrophage","mature_positive","COL2A1"
"GSE5099_Macrophage","mature_positive","COQ8B"
"GSE5099_Macrophage","mature_positive","CPSF4"
"GSE5099_Macrophage","mature_positive","CRTC3"
"GSE5099_Macrophage","mature_positive","CS"
"GSE5099_Macrophage","mature_positive","CTLA4"
"GSE5099_Macrophage","mature_positive","CTSW"
"GSE5099_Macrophage","mature_positive","CYP21A1P"
"GSE5099_Macrophage","mature_positive","CYP24A1"
"GSE5099_Macrophage","mature_positive","CYP4F22"
"GSE5099_Macrophage","mature_positive","DENND3"
"GSE5099_Macrophage","mature_positive","DERL3"
"GSE5099_Macrophage","mature_positive","DET1"
"GSE5099_Macrophage","mature_positive","DYNLL2"
"GSE5099_Macrophage","mature_positive","E2F5"
"GSE5099_Macrophage","mature_positive","EDC4"
"GSE5099_Macrophage","mature_positive","EIF4G1"
"GSE5099_Macrophage","mature_positive","ENO4"
"GSE5099_Macrophage","mature_positive","EPN3"
"GSE5099_Macrophage","mature_positive","ETS1"
"GSE5099_Macrophage","mature_positive","EVA1C"
"GSE5099_Macrophage","mature_positive","FCGRT"
"GSE5099_Macrophage","mature_positive","FKBP1A"
"GSE5099_Macrophage","mature_positive","FLNA"
"GSE5099_Macrophage","mature_positive","FZD7"
"GSE5099_Macrophage","mature_positive","GAA"
"GSE5099_Macrophage","mature_positive","GM2A"
"GSE5099_Macrophage","mature_positive","GMEB1"
"GSE5099_Macrophage","mature_positive","GMPPA"
"GSE5099_Macrophage","mature_positive","GPR108"
"GSE5099_Macrophage","mature_positive","GPR63"
"GSE5099_Macrophage","mature_positive","GRINA"
"GSE5099_Macrophage","mature_positive","GSDMA"
"GSE5099_Macrophage","mature_positive","GYPC"
"GSE5099_Macrophage","mature_positive","H1-10"
"GSE5099_Macrophage","mature_positive","HDC"
"GSE5099_Macrophage","mature_positive","HELB"
"GSE5099_Macrophage","mature_positive","HEXA"
