gene_set,source,gene
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,MRC1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,HS3ST2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ACP5
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,PLD3
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SIGLEC1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CD163L1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,C1QC
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ATG4C
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GPNMB
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC18B1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,VAT1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TLR7
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RARRES1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CTSD
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SPP1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,BLNK
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GNPDA1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC38A6
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RAD51AP1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,MS4A4A
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ASRGL1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LGMN
